name,website,category,description,description_source,address,lng,lat,geo_precision,top_people,contact_email,contact_phone,socials,image_file,image_public_path,image_source_url,notes
Urban Future Lab,https://www.ufl.nyc/,Climate-tech incubator (NYU Tandon),"Since 2009, Urban Future Lab has been focused on combating climate change and bringing sustainability to the forefront through innovation and start-up generation.",About page (verbatim),"370 Jay Street, 7th Floor, Brooklyn, NY 11201",-73.9880587,40.6932906,street address,"Frederic Clerc (Managing Director); Jeannette Williams (Chief Operating Officer); Austin Evarts (Director, ACRE Incubator)",Contact form only,,instagram.com/urbanfuturelab; linkedin.com/company/urban-future-lab,urban-future-lab.png,/hopamine-images/urban-future-lab.png,https://static1.squarespace.com/static/64d4041bdb4bf640ade0b57d/t/650c89d1204dea237ce13996/1695320529466/UFL_logos+white+horizontal-01.png,"Home of ACRE, NYC's longest-running climate-tech incubator. Image is a white-on-transparent logo."
Newlab,https://www.newlab.com/,Venture platform / hard-tech hub,Newlab exists to unblock the barriers for critical technology to commercialize.,About page (verbatim),"Brooklyn Navy Yard, Brooklyn, NY (site names the Navy Yard; 19 Morris Ave street address not stated on site)",-73.9747156,40.6988341,"building (Brooklyn Navy Yard, geocoded to 19 Morris Ave)","David Belt (Chief Executive Officer, Co-founder); Liz Keen (Chief Strategy Officer); Garrett Winther (Chief Product Officer)",Contact form only,,instagram.com/newlab; linkedin.com/company/newlabnyc; x.com/newlab,newlab.svg,/hopamine-images/newlab.svg,https://cdn.prod.website-files.com/677376e1e97650585235ab96/679478f6890c398e49c3ec2b_Newlab_Logo_Black.svg,"Focus is 'critical technologies' incl. energy, water, agriculture, mobility; climate is one vertical. Image is an SVG logo."
Greentown Labs,https://greentown.org/,Climate-tech incubator / 501(c)3,Helping climate & energy startups transform industries faster.,Meta description (verbatim),"444 Somerville Ave, Somerville, MA 02143 (also 4200 San Jacinto St, Houston, TX 77004)",-71.102752,42.3817538,street address (Somerville campus),Georgina Campbell Flatter (Chief Executive Officer); Aisling Carlson (Chief Growth Officer); Lawson Gow (Chief Strategy Officer),Contact form only,,instagram.com/greentownlabs; linkedin.com/company/greentown-labs; facebook.com/greentownlabs,greentown-labs.jpg,/hopamine-images/greentown-labs.jpg,https://greentown.org/api/og,Largest climate-tech incubator in North America per site. Redirects from greentownlabs.com.
EcoArt Project,https://www.ecoartproject.org/,Eco-art nonprofit / 501(c)3,EcoArt Project is a New York City–based nonprofit (501c3) igniting environmental awareness through the creative force of art and design.,What We Do page (verbatim),No street address listed; 'New York City–based',-74.0060152,40.7127281,"city (New York, NY)",Not listed on website,info@ecoartproject.org; pino@ecoartproject.org,,instagram.com/ecoartproject,ecoart-project.png,/hopamine-images/ecoart-project.png,https://static1.squarespace.com/static/5602af8ce4b0194ec176e68e/t/58e96d8dbe659458e8049006/1491692943391/logo_ecoart_socialmedia.png,"Runs residencies, competitions, and an artist registry. No team page on site."
ecoartspace,https://ecoartspace.org/,Eco-art membership organization,ecoartspace was conceived in 1997 by Patricia Watts in Los Angeles as a venue where visitors could learn about the principles of ecology through immersive environments created by artists.,About Us page (verbatim),"PO Box 5211, Santa Fe, New Mexico 87502 (mailing address)",-105.938456,35.6876096,"city (Santa Fe, NM; PO Box only)",Patricia Watts (Founder/Curator); Olivia Ann Carye Hallstein (Blog writer/reviewer/interviewer),info@ecoartspace.org; tricia@ecoartspace.org,+1 (310) 704-2395,instagram.com/ecoartspace; facebook.com/ecoartspace,ecoartspace.png,/hopamine-images/ecoartspace.png,https://ecoartspace.org/resources/Pictures/eas%20logo%202026%202.png,"Curating a 2026 exhibit at Swale House, Governors Island, NYC. Image is a logo."
Runwise,https://www.runwise.com/,Building energy-controls startup,"Make your building more efficient, comfortable, and sustainable with Runwise.",Meta description (verbatim),Not listed on website (site references NYC Local Law 97 compliance),-74.0060152,40.7127281,"city (New York, NY; inferred from LL97 references, not stated on site)",Not listed on website (no about/team page),Contact form only,,linkedin.com/company/wearerunwise; x.com/wearerunwise; youtube.com/@WeAreRunwise,runwise.jpg,/hopamine-images/runwise.jpg,https://www.runwise.com/images/opengraph-image.jpg,"Marketing-only site; no company page. Location is inferred, flagged accordingly."
Mission Zero Technologies,https://www.missionzero.tech/,Direct air capture startup,We develop technology to efficiently recover CO₂ from the atmosphere — to rebalance our climate and quit fossil fuels for good.,Meta description (verbatim),"115 Witan Street, London E2 6GG, UK",-0.0563187,51.5253648,street,Nicholas Chadwick (Chief Executive Officer); Shiladitya Ghosh (Chief Operations Officer); Gaël Gobaille-Shaw (Chief Technology Officer),info@missionzero.tech,,linkedin.com/company/missionzerotech; x.com/MissionZeroTech; bsky.app/profile/missionzero.tech,mission-zero-technologies.png,/hopamine-images/mission-zero-technologies.png,https://cdn.prod.website-files.com/65b810933000b6b25fd78458/6630ba77b51ce629c0f69cdb_Mission%20Zero%20Technologies.png,Founded 2020; £21.8M Series A per site timeline.
Ecovative,https://ecovative.com/,Mycelium biomaterials / food,We grow mycelium on wood chips and other plant material. The mycelium forms a thick sheet that we harvest for food. Our process gives mushroom farmers another crop to grow in their existing rooms.,Homepage (verbatim; no meta description),Not listed on website,-73.6914935,42.7444456,"town (Green Island, NY; NOT from site, external knowledge)",Eben (referenced on homepage by first name only; surname not given on site),info@ecovative.com; media@ecovative.com; investorrelations@ecovative.com,,,ecovative.jpg,/hopamine-images/ecovative.jpg,https://ecovative.com/images/process.jpg,Site is a live 'farm dashboard' with almost no company info. Verify HQ and leadership off-site before use.
ecoLogicStudio,https://www.ecologicstudio.com/,Biodesign architecture studio,ecoLogicStudio is an architecture and design innovation firm specialized in biotechnology for the built environment.,About page (verbatim),"LG07 Ink Court, 419 Wick Lane, London E3 2PW, UK",-0.0212909,51.5358657,street address,Claudia Pasquero (Co-founder); Marco Poletto (Co-founder),ecologicstudio@ecologicstudio.com,+44 20 8123 6366,,ecologicstudio.jpg,/hopamine-images/ecologicstudio.jpg,https://admin.ecologicstudio.com/wp-content/uploads/2021/03/3LIVING_BIOtech-HUT_ecoLogicStudio-%C2%A9NAARO-768x698.jpg,"JS-rendered site; needed the browser. Image is the BIO.tech HUT project photo (© NAARO), not a logo."
Notpla,https://www.notpla.com/,Seaweed packaging startup,"Notpla makes biodegradable, plastic-free packaging from seaweed, replacing single-use plastics across foodservice, e-commerce, and more. Awarded the Earthshot Prize, we’re leading the way in sustainable packaging innovation.",Meta description (verbatim),"8B Queen's Yard, London E9 5EN, UK",-0.0226334,51.5426383,postcode (E9 5EN),Pierre Paslier (Cofounder & Co-CEO); Rodrigo Garcia Gonzalez (Cofounder & Co-CEO); Seb Bregeaud (CTO),investors@notpla.com; contact form for general,,instagram.com/notpla; linkedin.com/company/notpla,notpla.png,/hopamine-images/notpla.png,https://cdn.prod.website-files.com/64ff4e18fe1818becb109f1a/655b60e17a739692d5ff7116_notpla-logos.png,Earthshot Prize 2022 winner per site. Image is a logo.
The Ocean Cleanup,https://theoceancleanup.com/,Ocean plastic nonprofit,The Ocean Cleanup is a non-profit organization developing advanced technologies to rid the oceans of plastic. We aim to remove 90% of the floating plastic with the help of ocean cleanup systems and river interception technologies.,Open Graph description (verbatim),"HQ: Weena-Zuid 136-168, 3012 NC Rotterdam, Netherlands. US: American Friends of The Ocean Cleanup, 228 East 45th Street, Suite 9E, New York, NY 10017",4.4753026,51.9232815,street address (Rotterdam HQ),Boyan Slat (Founder); Henk van Dalen (leads Science & Technology); Marco Piët (leads Deployment & Operations),Contact form only,,instagram/facebook/x/youtube/linkedin/tiktok: TheOceanCleanup,the-ocean-cleanup.jpg,/hopamine-images/the-ocean-cleanup.jpg,https://assets.theoceancleanup.com/app/uploads/2024/04/The-Ocean-Cleanup-STORY_presentation-202304-scaled.jpg,"Has a Manhattan postal address (American Friends entity), no visitation. Geocoded to Rotterdam HQ."
Gotham Greens,https://www.gothamgreens.com/,Urban greenhouse agriculture,"Gotham Greens is a worldwide pioneer in the field of urban agriculture and a leading regional producer of hyper-local, premium-quality, greenhouse grown vegetables and herbs.",Meta description (verbatim),"Not listed on website; founded in Brooklyn, NY with flagship greenhouse in Greenpoint, Brooklyn",-73.9497211,40.6526006,"borough (Brooklyn, NY)","Viraj Puri (Co-Founder, CEO); Eric Haley (Co-Founder); Jenn Frymark (greenhouse expert, founding team)",info@gothamgreens.com; media@gothamgreens.com; sales@gothamgreens.com,,instagram.com/gothamgreens; linkedin.com/company/gotham-greens-farms; x.com/gothamgreens,gotham-greens.jpg,/hopamine-images/gotham-greens.jpg,https://www.gothamgreens.com/wp-content/uploads/2019/11/GOTHAMGREENS_FACEBOOK_OG.jpg,Founders from Our Story page; CEO title from Press page headlines.
Brooklyn Grange,https://www.brooklyngrangefarm.com/,Rooftop farm / green roof company,"Founded in 2010, Brooklyn Grange is the leading rooftop farming and intensive green roofing business in the US, operating the world’s largest rooftop soil farms, located in New York City.",About page (verbatim),"63 Flushing Ave, Building 3, Suite 1105, Brooklyn, NY 11205 (Brooklyn Navy Yard office)",-73.9726875,40.6983825,street address,Not listed on website (no team page found),info@brooklyngrangefarm.com,(347) 670-3660,instagram.com/brooklyngrange; linkedin.com/company/brooklyn-grange; facebook.com/BrooklynGrange,brooklyn-grange.jpg,/hopamine-images/brooklyn-grange.jpg,https://static1.squarespace.com/static/6063c397ece4057779563706/t/61f1c7379f23a36eb6fcd802/1643235136892/363AB9B6-2ECF-4378-AD11-CBB67FF29169+%281%29.JPG,Rooftop farms open to visitors; strong exhibit candidate.
Watershed,https://watershed.com/,Enterprise sustainability software,"Watershed is the leading enterprise sustainability AI platform. Manage your sustainability data, meet sustainability reporting requirements and take action to reduce your impact — starting now.",Meta description (verbatim),"No street address listed; offices in San Francisco, London, New York, Sydney, Paris, Berlin, Mexico City",-122.4075201,37.7879363,"city (San Francisco, CA)",Taylor Francis (Co-founder),contact@watershed.com,,linkedin.com/company/watershedclimate,watershed.png,/hopamine-images/watershed.png,https://cdn.sanity.io/images/3ogo9b9g/production/585df129172025fc52864431eeddb9eb5fb2d645-1200x630.png,Only one founder named on site. Has a New York office but no address given.
Brooklyn SolarWorks,https://www.brooklynsolarworks.com/,Solar installer,"Brooklyn SolarWorks is NYC’s solar specialist. Since 2015, we’ve installed over 3,000 residential, commercial, and co-op systems on urban rooftops. We are proudly NYC Accelerator Approved.",Meta description (verbatim),"200 6th Street, Suite 3G, Brooklyn, NY 11215",-73.9903277,40.6734055,street address,T.R. Ludwig (CEO and Founder); Gaelen McKee (President and Founder); Mark Cunningham (CTO and Founder),hello@brooklynsolarworks.com,347-801-8154,facebook/instagram/x/linkedin/tiktok linked from site,brooklyn-solarworks.jpg,/hopamine-images/brooklyn-solarworks.jpg,https://brooklynsolarworks.com/wp-content/uploads/2019/06/Canopy_Habana.jpg,Replacement for Noya (noya.co unreachable). Known for the Brooklyn 'solar canopy' rooftop design.
